player_id,surname,forename,player_name,comp_rec_pos,soccerbase_pos,tm_pos_1,tm_pos_2,tm_pos_3
WilliamsJohn19601003,Williams,John,John Williams,Center Half,,Centre-Back,,
WilliamsJosh20040713,Williams,Josh,Josh Williams,,,Central Midfield,Attacking Midfield,
WilliamsKeith19370114,Williams,Keith,Keith Williams,Inside Forward,,,,
WilliamsRay19301230,Williams,Ray,Ray Williams,Wing Half,,,,
WilliamsRyan19780831,Williams,Ryan,Ryan Williams,,Midfielder,Attacking Midfielder,,
WilliamsRyan19910408,Williams,Ryan,Ryan Williams,,Midfielder,Attacking Midfielder,,
WilliamsTommy19290801,Williams,Tommy,Tommy Williams,Wing Half,,,,
WilliamsonJames19260616,Williamson,James,James Williamson,Inside Forward,,,,
WilliamsonStewie19260407,Williamson,Stewie,Stewie Williamson,Outside Left,,,,
WilsonBob19280908,Wilson,Bob,Bob Wilson,Right Back,,Right-Back,,
WilsonKane20000311,Wilson,Kane,Kane Wilson,,Defender,Right-Back,Right Midfield,
WilsonMark19790209,Wilson,Mark,Mark Wilson,,Midfielder,Central Midfield,,
WilsonSteve19740424,Wilson,Steve,Steve Wilson,,Goalkeeper,Goalkeeper,,
WinnEdward,Winn,Edward,Edward Winn,Center Half,,,,
WoanDon19271107,Woan,Don,Don Woan,Forward,,,,
WoodAlbert19030425,Wood,Albert,Albert Wood,Inside Left,,,,
WoodArchie19260318,Wood,Archie,Archie Wood,Outside Left,,,,
WoodConnor19960717,Wood,Connor,Connor Wood,,Defender,Left-Back,Left Midfield,
WoodNick19901109,Wood,Nick,Nick Wood,,Defender,Centre-Back,Left-Back,
WoodardsDan19831007,Woodards,Dan,Dan Woodards,,Defender,Right-Back,Left-Back,Centre-Back
WoodinSteve19550106,Woodin,Steve,Steve Woodin,Winger,,,,
WoodsBilly19731024,Woods,Billy,Billy Woods,Winger,Midfielder,Left Midfield,,
WoodsCalum19870205,Woods,Calum,Calum Woods,,Defender,Right-Back,Left-Back,Centre-Back
WoodsRay19650607,Woods,Ray,Ray Woods,Midfielder,,,,
WoodwardBilly,Woodward,Billy,Billy Woodward,Inside Left,,,,
WoodyardAlex19930503,Woodyard,Alex,Alex Woodyard,,Midfielder,Central Midfield,Defensive Midfield,Right Midfield
WooleryKaiyne19950111,Woolery,Kaiyne,Kaiyne Woolery,,Midfielder,Left Winger,Right Winger,Centre-Forward
WoottonScott19910912,Wootton,Scott,Scott Wootton,,Defender,Centre-Back,Right-Back,
WorthingtonFrank19481123,Worthington,Frank,Frank Worthington,Center Forward,,,,
YardleyGeorge19421008,Yardley,George,George Yardley,Center Forward,,,,
YarneyJosef19971008,Yarney,Josef,Josef Yarney,,Defender,Centre-Back,Right-Back,
YatesSteve19700129,Yates,Steve,Steve Yates,,Defender,Centre-Back,Right-Back,Left-Back
YatesWilf1898,Yates,Wilf,Wilf Yates,Right Back,,,,
YeatsRon19371115,Yeats,Ron,Ron Yeats,Center Half,,Centre-Back,,
YoungJack20001021,Young,Jack,Jack Young,,Midfielder,Central Midfield,Defensive Midfield,
YoungTommy19471224,Young,Tommy,Tommy Young,Forward,,Centre-Forward,Attacking Midfield,
ZolaCalvin19841231,Zola,Calvin,Calvin Zola,,Forward,Centre-Forward,,
